gsis_id,season,source,pass_yards,pass_tds,interceptions,rush_yards,rush_tds,receptions,rec_yards,rec_tds,points
00-0033073,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033077,2026,espn,4112.444761,29.82532773,11.89629537,186.3377335,2.146683572,0.0,0.0,0.0,291.52038540200004
00-0033077,2026,fantasypros,4291.2,30.9,11.3,173.4,1.7,,,,300.18799999999993
00-0033090,2026,espn,0.0,0.0,0.0,0.0,0.0,55.61822471,628.6449698,5.275236599,150.134141284
00-0033093,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033106,2026,espn,4216.054218,29.04658789,9.956288718,49.47162963,0.680041196,0.0,0.0,0.0,273.943352983
00-0033109,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033110,2026,espn,0.0,0.0,0.0,0.0,0.0,15.28149722,154.4223621,1.249760519,38.222296544
00-0033119,2026,espn,3354.476516,14.90802869,9.183333407,209.9340727,1.30305741,0.0,0.0,0.0,204.25626031600004
00-0033120,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033131,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033132,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033217,2026,espn,0.0,0.0,0.0,0.0,0.0,10.65599914,113.8464926,0.923097008,27.579230448000004
00-0033246,2026,espn,0.0,0.0,0.0,0.0,0.0,3.45390061,35.39347759,0.208808659,8.246100323
00-0033269,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033280,2026,espn,0.0,0.0,0.0,1130.92564,9.156026711,79.07141742,681.541849,4.745925303,343.729878404
00-0033280,2026,fantasypros,,,,1094.6,8.7,78.4,691.8,4.6,336.84000000000003
00-0033281,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033288,2026,espn,0.0,0.0,0.0,0.0,0.0,74.27874571,809.7216924,5.624819295,188.99983072
00-0033288,2026,fantasypros,,,,,,69.4,787.6,6.2,185.36
00-0033293,2026,espn,0.0,0.0,0.0,652.2526531,3.2103758,47.01429982,344.2282282,2.080010536,178.40470596599997
00-0033294,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033297,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033303,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033307,2026,espn,0.0,0.0,0.0,0.0,0.0,22.76023298,239.2138902,0.664568926,50.669035556000004
00-0033319,2026,espn,179.4566185,1.13575518,0.843997452,3.392607796,0.028219279,0.0,0.0,0.0,10.5418670096
00-0033336,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033347,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033376,2026,espn,0.0,0.0,0.0,0.0,0.0,3.92067897,26.81237386,0.134444191,7.4085815020000005
00-0033381,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033393,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033400,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033523,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033526,2026,espn,0.0,0.0,0.0,440.6152182,3.349348399,18.79689601,139.3608802,0.742146502,101.343475256
00-0033537,2026,espn,1284.230382,5.413446677,4.3710874,130.3507142,0.614287453,0.0,0.0,0.0,81.001623326
00-0033546,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033548,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033551,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033553,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033555,2026,espn,0.0,0.0,0.0,0.0,0.0,21.48808589,257.6416826,1.59680609,56.833090690000006
00-0033576,2026,espn,0.0,0.0,0.0,0.0,0.0,3.421359977,34.38486443,0.298095185,8.64841753
00-0033579,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033589,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033702,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033729,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033783,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033787,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033857,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033860,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033862,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033868,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033869,2026,espn,154.218907,0.68116384,0.712713714,2.498569964,0.048501294,0.0,0.0,0.0,8.008848972400001
00-0033870,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033872,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033873,2026,espn,4000.820842,26.39185377,11.65786089,326.9709797,3.265225959,0.0,0.0,0.0,294.57298070400003
00-0033876,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033877,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033881,2026,espn,0.0,0.0,0.0,0.0,0.0,47.2561997,464.7499788,2.190516572,106.87429701200001
00-0033885,2026,espn,0.0,0.0,0.0,0.0,0.0,39.87216828,416.7293841,3.854790027,104.673846852
00-0033886,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033890,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033906,2026,espn,0.0,0.0,0.0,451.2286731,2.102155794,32.8758244,221.8408793,0.897499313,118.180710282
00-0033908,2026,espn,0.0,0.0,0.0,0.0,0.0,37.85217409,471.6831993,2.82219176,101.95364458
00-0033914,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033921,2026,espn,0.0,0.0,0.0,0.0,0.0,60.36605527,700.6785854,4.543470662,157.694737782
00-0033928,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033935,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033941,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033945,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033947,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033949,2026,espn,132.9248591,0.915972113,0.592914642,6.774311421,0.096272055,0.0,0.0,0.0,9.0501170041
00-0033952,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033964,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034116,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034160,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034161,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034162,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034163,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034173,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034234,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034264,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034270,2026,espn,0.0,0.0,0.0,0.0,0.0,3.682308695,37.9224052,0.252263683,8.988131313
00-0034277,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034278,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034285,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034302,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034320,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034333,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034344,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034348,2026,espn,0.0,0.0,0.0,0.0,0.0,69.18599936,894.9565062,7.615268045,204.37325825
00-0034350,2026,espn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034351,2026,espn,0.0,0.0,0.0,0.0,0.0,70.62137978,725.7005499,5.685054782,177.301763462
00-0034351,2026,fantasypros,,,,,,65.5,689.2,7.6,180.02
